obs,7.0
ttbarW,9.0,0.6850,0.1098
zinv,215.6770,0.0225,0.617
qcd,1.0000,0.2073,0.546
ttz,58.1335,0.0131,0.311
rare,16.6142,0.1681,0.240
T2tt,1000,-1,-1,0.076
T2tt,1100,-1,-1,0.078
T2tt,1200,-1,-1,0.079
T2tt,800,-1,-1,0.081
T2tt,900,-1,-1,0.081
T1tttt,1700,-1,-1,0.086
T1tttt,1800,-1,-1,0.086
T1tttt,1900,-1,-1,0.086
T1tttt,2000,-1,-1,0.087
T1tttt,2100,-1,-1,0.091
