obs,47.0
ttbarW,71.0,0.4762,0.0255
zinv,434.0713,0.0243,0.635
qcd,1.4489,2.4550,1.208
ttz,179.4360,0.0173,0.303
rare,52.6460,0.1222,0.207
T2tt,1000,-1,-1,0.089
T2tt,1100,-1,-1,0.089
T2tt,1200,-1,-1,0.091
T2tt,800,-1,-1,0.089
T2tt,900,-1,-1,0.085
T1tttt,1700,-1,-1,0.094
T1tttt,1800,-1,-1,0.095
T1tttt,1900,-1,-1,0.096
T1tttt,2000,-1,-1,0.099
T1tttt,2100,-1,-1,0.102
