obs,0.0
ttbarW,0.0,0.4769,0.1942
zinv,4.7420,0.0257,0.708
qcd,0.0000,0.0000,0.725
ttz,4.7679,0.0199,0.346
rare,4.0810,0.0475,0.544
T2tt,1000,-1,-1,0.120
T2tt,1100,-1,-1,0.128
T2tt,1200,-1,-1,0.128
T2tt,800,-1,-1,0.124
T2tt,900,-1,-1,0.115
T1tttt,1700,-1,-1,0.102
T1tttt,1800,-1,-1,0.102
T1tttt,1900,-1,-1,0.105
T1tttt,2000,-1,-1,0.109
T1tttt,2100,-1,-1,0.110
