obs,0.0
ttbarW,0.0,0.6824,0.3275
zinv,1.9008,0.0304,0.696
qcd,0.0000,0.0000,0.743
ttz,0.0015,-0.7528,0.348
rare,0.0207,0.2041,0.000
T2tt,1000,-1,-1,0.179
T2tt,1100,-1,-1,0.120
T2tt,1200,-1,-1,0.148
T2tt,800,-1,-1,0.231
T2tt,900,-1,-1,0.153
T1tttt,1700,-1,-1,0.103
T1tttt,1800,-1,-1,0.103
T1tttt,1900,-1,-1,0.106
T1tttt,2000,-1,-1,0.109
T1tttt,2100,-1,-1,0.110
